cuentaId;nombre;saldo;edad;tipo
120;Charlie Green;7000.0;;hipoteca
105;Jane Smith;7000.0;40;unknown
132;Bob Johnson;5000.0;150;-1
122;Unknown;12000.0;45;prestamo
120;Alice Brown;12000.0;45;-1
123;Steve Rogers;;;prestamo
132;John Doe;7000.0;30;hipoteca
135;Steve Rogers;10000.0;45;unknown
104;Jane Smith;10000.0;;hipoteca
145;Steve Rogers;;;prestamo
132;John Doe;12000.0;45;-1
150;Alice Brown;10000.0;40;unknown
121;Alice Brown;12000.0;35;hipoteca
148;Alice Brown;7000.0;;hipoteca
120;Charlie Green;7000.0;40;-1
103;Bob Johnson;10000.0;;-1
137;Alice Brown;;45;ahorro
140;Alice Brown;7000.0;;hipoteca
114;Bob Johnson;5000.0;30;-1
105;Diana Prince;5000.0;30;-1
116;Alice Brown;8000.0;35;-1
140;John Doe;;45;-1
142;Alice Brown;;100;prestamo
125;Jane Smith;12000.0;30;-1
119;Charlie Green;5000.0;35;hipoteca
114;Charlie Green;7000.0;100;-1
128;Jane Smith;7000.0;100;hipoteca
118;Bob Johnson;10000.0;45;hipoteca
150;Jane Smith;8000.0;;-1
129;Charlie Green;10000.0;40;-1
143;Jane Smith;12000.0;40;hipoteca
124;Steve Rogers;8000.0;25;hipoteca
127;Steve Rogers;;;prestamo
125;Charlie Green;12000.0;25;-1
126;Diana Prince;;35;prestamo
114;Alice Brown;;;-1
114;Charlie Green;10000.0;150;hipoteca
138;Diana Prince;7000.0;35;-1
141;Charlie Green;7000.0;35;hipoteca
140;Jane Smith;8000.0;30;hipoteca
123;Steve Rogers;12000.0;35;hipoteca
122;Jane Smith;;100;-1
116;Alice Brown;12000.0;30;-1
129;Unknown;;35;-1
117;Steve Rogers;10000.0;;hipoteca
147;John Doe;;35;hipoteca
144;John Doe;;;prestamo
123;Steve Rogers;;;-1
102;Bob Johnson;12000.0;35;hipoteca
106;Diana Prince;;30;prestamo
125;Steve Rogers;;100;ahorro
139;Alice Brown;12000.0;100;unknown
106;Diana Prince;5000.0;100;unknown
114;Steve Rogers;7000.0;45;-1
103;Charlie Green;;30;hipoteca
109;Diana Prince;;40;hipoteca
111;John Doe;12000.0;40;hipoteca
107;John Doe;12000.0;45;hipoteca
109;Diana Prince;5000.0;45;hipoteca
136;Diana Prince;;30;unknown
123;Alice Brown;10000.0;;-1
142;John Doe;8000.0;100;hipoteca
122;Diana Prince;5000.0;25;-1
126;Charlie Green;;35;hipoteca
121;Bob Johnson;5000.0;25;-1
149;Charlie Green;;100;prestamo
143;Diana Prince;;40;hipoteca
116;John Doe;12000.0;;-1
114;Steve Rogers;10000.0;45;hipoteca
102;Alice Brown;12000.0;30;hipoteca
104;Unknown;10000.0;25;ahorro
145;Jane Smith;;25;prestamo
138;Alice Brown;;45;ahorro
114;John Doe;8000.0;25;-1
141;Steve Rogers;7000.0;45;hipoteca
128;Diana Prince;8000.0;35;-1
120;Alice Brown;10000.0;100;-1
150;Unknown;10000.0;100;-1
121;Alice Brown;5000.0;40;-1
114;Bob Johnson;8000.0;45;unknown
109;Bob Johnson;;;hipoteca
112;Diana Prince;10000.0;150;-1
149;Diana Prince;5000.0;25;hipoteca
120;Alice Brown;5000.0;45;-1
112;Jane Smith;;150;hipoteca
141;Alice Brown;5000.0;;-1
149;Steve Rogers;10000.0;40;-1
132;Bob Johnson;7000.0;100;-1
141;Alice Brown;10000.0;30;-1
123;Unknown;7000.0;100;prestamo
118;John Doe;10000.0;100;hipoteca
138;Jane Smith;;;hipoteca
123;Alice Brown;8000.0;45;-1
144;Charlie Green;7000.0;30;-1
136;Steve Rogers;12000.0;35;-1
115;Bob Johnson;7000.0;35;hipoteca
147;John Doe;;30;ahorro
145;Bob Johnson;;35;ahorro
138;Charlie Green;;100;prestamo
134;Unknown;7000.0;45;ahorro
123;Charlie Green;5000.0;40;-1
146;Bob Johnson;10000.0;40;-1
113;John Doe;8000.0;25;hipoteca
132;Steve Rogers;5000.0;45;hipoteca
101;Jane Smith;7000.0;45;hipoteca
123;Unknown;10000.0;35;prestamo
140;Unknown;12000.0;40;hipoteca
